BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2017;640000162;640780417;321;117165;19077;2140;102629;126;45990;7730;536;38894;35;12775;2665;68;11405;482;175930;29472;2744;152928;21;3199;;;25997;16;5327;4;486;;;41;9012;;;25997;0;1;1;1;1;1;1;1;0;;;;;130281;9466;125008;535;1333;
MCO;2017;640000402;640780813;69;25185;3003;476;20636;0;0;0;0;0;0;0;0;0;0;69;25185;3003;476;20636;6;494;0;0;425;0;0;0;0;0;0;6;494;0;0;425;0;0;1;1;1;1;1;1;0;30;15;2;;9074;2087;20290;0;3235;8994
MCO;2017;640000410;640780821;76;29406;3723;643;22310;27;9855;2406;998;6076;0;1770;394;156;913;103;41031;6523;1797;29299;6;680;0;0;851;10;296;0;0;0;0;16;976;0;0;851;1;0;1;1;1;0;1;1;1;;;;;13908;555;15832;1;414;945
MCO;2017;640000428;640780839;5;1825;145;1;1353;;;0;0;0;;;0;0;0;5;1825;145;1;1353;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;640000600;640781290;319;114347;20301;4263;96674;118;42804;5634;337;28550;40;14054;3700;407;14192;477;171205;29635;5007;139416;59;5141;2;225;9745;19;4017;5;524;0;0;83;9682;2;225;9745;1;1;1;1;1;1;1;1;1;;;;;92774;4473;103886;204;1174;31718
MCO;2017;640016580;640010658;74;24544;7034;1213;17630;;;0;0;0;;;0;0;0;74;24544;7034;1213;17630;;0;;;7;;0;;0;;;;0;;;7;;;;;;;;;;;;;;;;;;;
MCO;2017;640017646;640017638;33;12045;2378;776;11723;22;8030;967;78;5180;7;2555;463;36;1645;62;22630;3808;890;18548;1;22;;;320;4;2163;1;17;;;6;2202;;;320;1;0;1;1;0;1;1;0;0;;;;;22260;993;11568;;1495;
MCO;2017;640018206;640012209;47;17155;3517;734;16469;123;44895;9234;191;31251;24;8760;1285;41;5071;194;70810;14036;966;52791;;0;;;5662;33;13339;1;121;;;34;13460;;;5662;;;;;;;;;;;;;;;;;;;
MCO;2017;640780268;640000113;10;3650;417;8;2257;18;6570;615;8;931;;;0;0;0;28;10220;1032;16;3188;1;21;;;124;5;8326;;0;;;6;8347;;;124;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;640780490;640000212;46;17882;6125;2920;14596;47;17155;3052;87;10106;;;0;0;0;93;35037;9177;3007;24702;;0;;;940;20;6832;;0;;;20;6832;;;940;;;;;;;;;;;;;;;;;;;
