BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PACT;PDEN
MCO;2014;790000111;790000046;15;5135;408;4;5133;;;0;0;0;;;0;0;0;15;5135;408;4;5133;;0;;;0;;0;;0;;;;0;;;0;0;0;;;;;;;;;;;;;;
MCO;2014;790000137;790000061;10;3427;226;3;3388;;;0;0;0;;;0;0;0;10;3427;226;3;3388;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2014;790003537;790006654;73;26645;3907;229;24065;30;10414;1638;242;5195;0;0;0;0;0;103;37059;5545;471;29260;5;1068;0;0;1016;6;810;;0;0;0;11;1878;0;0;1016;1;0;1;1;0;0;0;1;0;75;;;;23996;0;15
MCO;2014;790009948;790001242;38;12167;1713;54;9625;110;40150;5572;119;24543;20;7300;792;38;3062;168;59617;8077;211;37230;;0;;;139;36;8196;;0;;;36;8196;;;139;;;;;;;;;;;;;;;;
MCO;2014;800000143;800000028;215;76333;11023;734;67419;54;22540;3746;127;17453;30;10950;1961;375;7160;299;109823;16730;1236;92032;13;501;0;0;3277;7;1909;;0;0;0;20;2410;0;0;3277;1;0;1;1;1;1;1;1;1;95;67;69;55;64829;20820;0
MCO;2014;800000184;800000036;20;7300;607;42;5251;;;0;0;0;;;0;0;0;20;7300;607;42;5251;;0;;;33;;0;;0;;;;0;;;33;1;0;1;1;0;0;1;1;0;5;;;;0;338;0
MCO;2014;800000192;800000044;202;73730;14743;1742;87232;0;67952;10746;980;52002;;;0;0;0;202;141682;25489;2722;139234;12;3265;;;6029;0;2117;;0;;;12;5382;;;6029;;1;1;0;0;0;0;1;0;90;;;;148456;46285;1042
MCO;2014;800000200;800000051;19;6006;587;27;5729;;;0;0;0;;;0;0;0;19;6006;587;27;5729;1;100;;;19;;0;;0;;;1;100;;;19;1;1;1;1;0;0;1;1;0;;;;;8119;;0
MCO;2014;800000226;800000069;48;17520;3033;841;15299;0;0;0;0;0;1;260;29;29;0;49;17780;3062;870;15299;10;0;0;;446;;0;;0;;;10;0;0;;446;1;1;1;1;1;0;1;1;1;90;180;;60;10402;30503;0
MCO;2014;800000275;800000077;29;10585;784;5;7522;;;0;0;0;;;0;0;0;29;10585;784;5;7522;5;477;;;0;;0;;0;;;5;477;;;0;1;1;1;;0;0;1;0;1;24;;;47;7809;495;0
MCO;2014;800000390;800000085;53;16649;2346;205;16505;0;0;0;0;0;0;0;0;0;0;53;16649;2346;205;16505;0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;88;1;1;1;1;0;1;1;0;1;90;;45;240;18255;6358;862
MCO;2014;800000432;800000093;34;12410;2041;177;11381;15;5475;1273;110;5131;15;5475;1086;197;3700;64;23360;4400;484;20212;5;966;;;309;5;843;;0;;;10;1809;;;309;1;0;1;1;1;1;1;1;1;30;55;10;110;35601;11162;
MCO;2014;800000507;800000135;24;8760;392;7;5775;;;0;0;0;;;0;0;0;24;8760;392;7;5775;;0;;;0;;0;;0;;;;0;;;0;1;0;0;1;0;0;0;0;0;;;;;552;0;0
MCO;2014;800000614;800000044;10;3650;185;5;2908;0;5280;947;53;2025;;;0;0;0;10;8930;1132;58;4933;;0;;;0;0;2318;;0;;;0;2318;;;0;0;0;0;0;0;0;0;0;1;;;;89;18491;15779;5
MCO;2014;800002503;800001141;6;2190;286;7;1614;73;26645;2944;84;11354;0;0;68;0;223;79;28835;3298;91;13191;;0;;;19000;29;5280;1;105;;;30;5385;;;19000;;;;;;;;;;;;;;;;
