BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PDEN;PACT
MCO;2015;910000272;910110014;105;37721;5410;981;31729;31;11863;2104;0;8154;27;9855;1927;187;7482;163;59439;9441;1168;47365;8;433;;;518;6;1803;;0;;;14;2236;;;518;1;1;1;1;0;1;1;0;1;105;;47;252;89976;1318;65607
MCO;2015;910000280;910019447;54;19500;3107;204;17229;15;5475;826;101;3054;0;2737;324;51;1200;69;27712;4257;356;21483;8;654;0;;569;5;1172;0;0;0;;13;1826;0;;569;1;1;1;1;0;1;1;1;1;;;;;;0;
MCO;2015;910000298;910110055;215;79304;11403;998;69865;52;18980;3298;136;15637;53;19345;2993;115;12079;320;117629;17694;1249;97581;16;943;;;4007;7;1955;0;713;;;23;3611;;;4007;1;0;1;1;0;1;1;0;1;25;;5;250;120847;409;131053
MCO;2015;910000306;910110063;113;41245;5998;539;35587;30;10950;1808;208;7928;25;9125;1841;109;7240;168;61320;9647;856;50755;7;919;;;242;4;768;1;62;;;12;1749;;;242;1;0;0;1;1;1;0;1;1;;70;15;130;42184;;49393
MCO;2015;910001973;910019447;83;30295;3252;266;27513;45;16425;2662;371;12121;27;9855;1248;56;5842;155;56575;7162;693;45476;8;279;;;864;5;1078;;0;;;13;1357;;;864;1;1;1;1;1;1;1;0;0;;;;;;;
MCO;2015;910002609;910008259;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;11290;;0;;0;;;;0;;;11290;;;;;;;;;;;;;;;;
MCO;2015;910015965;750043994;25;8760;429;2;5290;;;0;0;0;;;0;0;0;25;8760;429;2;5290;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;910018423;910019454;79;28188;3104;323;24331;0;0;0;0;0;0;0;0;0;0;79;28188;3104;323;24331;4;448;0;0;124;0;0;0;0;;;4;448;0;0;124;1;0;1;1;0;0;1;1;0;90;;;;24642;0;493
MCO;2015;910020254;910002773;462;165635;22494;1499;143744;76;25902;4727;140;23071;99;36135;7370;556;30012;637;227672;34591;2195;196827;67;6787;1;234;15647;14;2487;0;1027;;;81;10301;1;234;15647;1;1;1;1;1;1;1;1;1;;;;;169888;;99836
MCO;2015;910100015;750712184;34;12410;697;11;10587;;;0;0;0;;;0;0;0;34;12410;697;11;10587;2;250;;;0;;0;;0;;;2;250;;;0;0;0;0;0;0;0;0;0;0;;;;;4756;;542
MCO;2015;910100023;750712184;41;14965;751;5;11157;;;0;0;0;;;0;0;0;41;14965;751;5;11157;3;824;;;29;;0;;0;;;3;824;;;29;0;0;0;0;0;0;0;0;0;;;;;6229;170;684
MCO;2015;910150010;910014919;2;730;510;400;349;;;0;0;0;;;0;0;0;2;730;510;400;349;0;0;;;11624;;0;;0;;;0;0;;;11624;1;0;1;0;0;0;0;0;0;30;;;;2255;;1586
MCO;2015;910150028;750811184;126;41610;4450;139;35153;;;0;0;0;;;0;0;0;126;41610;4450;139;35153;12;380;;;2909;;0;;0;;;12;380;;;2909;1;1;1;1;0;0;1;0;0;;;;;18712;;
MCO;2015;910150069;910000033;68;24820;2175;11;23124;;;0;0;0;;;0;0;0;68;24820;2175;11;23124;4;872;;;0;;0;;0;;;4;872;;;0;1;0;0;0;0;0;1;0;0;;;;;1313;194;0
MCO;2015;910300011;910000348;20;7300;176;0;607;45;16425;1499;0;3783;;;0;0;0;65;23725;1675;0;4390;5;69;;;0;15;10999;;0;;;20;11068;;;0;;;;;;;;;;;;;;;;
MCO;2015;910300029;910000355;37;13505;1045;10;8730;;;0;0;0;;;0;0;0;37;13505;1045;10;8730;;0;;;7;;0;;0;;;;0;;;7;;;;;;;;;;;;;;;;
