BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2016;010000024;010780054;298;107966;15441;1052;89086;73;26159;3880;143;19502;43;17655;3956;775;13292;414;151780;23277;1970;121880;14;2877;;;36011;20;5176;4;0;;;38;8053;;;36011;1;1;1;1;1;1;1;1;1;134;125;55;;93185;6715;66710;581;10049;6329
MCO;2016;010000032;010780062;62;22692;3869;280;20348;17;6222;1003;28;4899;10;3660;595;51;2007;89;32574;5467;359;27254;4;107;0;0;970;5;1288;0;93;;;9;1488;0;0;970;1;0;1;1;1;1;1;1;0;115;75;38;;18774;1339;19079;0;1294;2966
MCO;2016;010000065;010780096;59;21594;2192;14;19731;;;0;0;0;;;0;0;0;59;21594;2192;14;19731;;0;;;24;;0;;0;;;;0;;;24;0;0;1;0;0;0;1;0;0;;;;;;;;;;
MCO;2016;010000099;010780120;9;3285;118;2;1594;0;0;0;0;0;0;0;0;0;0;9;3285;118;2;1594;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2016;010000107;010780138;15;5475;250;5;3105;;;0;0;0;;;0;0;0;15;5475;250;5;3105;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2016;010000115;010009132;12;4392;150;0;3082;;;0;0;0;;;0;0;0;12;4392;150;0;3082;0;0;;;0;;0;;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2016;010000131;010009132;8;2928;151;1;2732;;;0;0;0;;;0;0;0;8;2928;151;1;2732;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2016;010000180;010007987;2;732;361;1;3086;;;0;0;0;;;0;0;0;2;732;361;1;3086;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2016;010000214;010007987;9;3294;133;1;2149;;;0;0;0;;;0;0;0;9;3294;133;1;2149;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2016;010005239;010008407;76;27816;4845;405;21601;26;9516;1280;61;5350;21;7686;867;191;2449;123;45018;6992;657;29400;7;920;;;164;7;1679;1;111;;;15;2710;;;164;1;0;1;1;1;1;0;0;1;;;;;26104;4274;33240;;3950;8030
MCO;2016;010007300;010007292;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;0;2;2141;;0;;;2;2141;;;0;;;;;;;;;;;;;;;;;;;
MCO;2016;010780195;010000156;66;24156;4032;1421;14600;69;25254;5696;140;19217;;;0;0;0;135;49410;9728;1561;33817;;0;;;2929;31;8912;;0;;;31;8912;;;2929;;;;;;;;;;;;;;;;;;;
MCO;2016;010780203;010010718;26;9490;3334;369;11973;46;16790;1980;96;6735;15;5475;998;30;3909;87;31755;6312;495;22617;0;0;;;140;21;4263;;0;;;21;4263;;;140;;;;;;;;;;;;;;;;;;;
MCO;2016;010780294;690000278;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;9248;;0;;0;;;;0;;;9248;;;;;;;;;;;;;;;;;;;
